Generation, Min Fitness, Avg Fitness, Std Dev Fitness, Max Fitness
0,140.56247775008904,140.56247775008904,0.0,140.56247775008904
1,140.56247775008904,140.56247775008904,0.0,140.56247775008904
2,140.56247775008904,140.56247775008904,0.0,140.56247775008904
3,140.56247775008904,140.56247775008904,0.0,140.56247775008904
4,140.56247775008904,140.56247775008904,0.0,140.56247775008904
